year,state,obs,households,wealth_mean,wealth_median,wealth_top1,wealth_top.1,wealth_top.01,wealth_top.001,wealth_top10,wealth_bottom50,wealth_gini,wealth_sd,p90,p10,income_mean,house_value_mean,own,rent,own_outright,own_mortgage,college,white,black,hispanic,female,household_size,age,mean_sd,top1_sd,top.1_sd,top.01_sd,top.001_sd,top10_sd,bottom50_sd,top5_sd,top.5_sd,gini_sd
1960,new mexico,12029,240580,101527.885,41570.9,0.188,0.073,0.03,0.012,0.534,0.076,0.703,209301.764,234574.767,0,51753.006,62293.361,0.639,0.361,NA,NA,0.245,0.94,0.017,0.009,0.139,3.703,43.728,3308.76,0.022,0.012,0.005,0.002,0.015,0.002,0.019,0.02,0.026
1960,new york,235176,4703520,124715.804,32067.03,0.316,0.131,0.053,0.021,0.643,0.028,0.833,568499.267,238968.649,-3529.611,65731.088,59301.042,0.387,0.613,NA,NA,0.212,0.916,0.079,0,0.195,3.117,48.034,10653.942,0.052,0.025,0.01,0.004,0.031,0.002,0.042,0.047,0.004
1960,north carolina,59235,1184700,78721.614,36337.961,0.194,0.073,0.029,0.012,0.524,0.067,0.709,204850.584,176785.209,-2418.747,40383.366,46512.407,0.595,0.405,NA,NA,0.144,0.789,0.205,0,0.161,3.684,45.815,1067.519,0.011,0.01,0.005,0.002,0.006,0.001,0.008,0.011,0.02
1960,north dakota,8174,163480,125660.959,70106.955,0.108,0.034,0.012,0.005,0.414,0.416,0.615,159884.891,300739.953,0,42943.018,60832.155,0.669,0.331,NA,NA,0.175,0.986,0.001,0,0.132,3.61,48.263,6880.721,0.041,0.024,0.011,0.004,0.03,0.447,0.037,0.036,0.03
1960,ohio,135238,2704760,127734.185,64620.987,0.217,0.087,0.035,0.014,0.517,0.085,0.702,335513.408,250434.994,0,58489.902,83230.457,0.657,0.343,NA,NA,0.181,0.93,0.07,0,0.155,3.359,47.135,1598.19,0.008,0.004,0.002,0.001,0.006,0.001,0.008,0.007,0.019
1960,oklahoma,35710,714200,97431.386,41279.792,0.194,0.077,0.031,0.012,0.525,0.078,0.704,246887.117,221876.682,0,44850.343,51543.819,0.662,0.338,NA,NA,0.214,0.92,0.059,0,0.177,3.111,49.1,1319.933,0.01,0.007,0.004,0.001,0.006,0.001,0.008,0.008,0.02
1960,oregon,26899,537980,116892.174,61828.943,0.175,0.067,0.027,0.011,0.488,0.092,0.669,256183.525,256696.43,0,53578.882,69212.454,0.683,0.317,NA,NA,0.231,0.983,0.009,0,0.158,3.125,48.486,2486.242,0.016,0.012,0.006,0.002,0.011,0.002,0.014,0.015,0.025
1960,pennsylvania,157773,3155460,104587.769,54787.793,0.201,0.08,0.032,0.013,0.504,0.093,0.682,265989.672,214245.479,0,55269.171,66057.988,0.664,0.336,NA,NA,0.155,0.929,0.07,0,0.169,3.325,48.268,767.851,0.006,0.007,0.003,0.001,0.004,0.001,0.005,0.006,0.021
1960,rhode island,11258,225160,87934.974,36669.604,0.195,0.072,0.029,0.012,0.525,0.043,0.725,207252.339,200108.529,-2339.785,50911.839,57156.063,0.48,0.52,NA,NA,0.156,0.979,0.018,0,0.191,3.211,47.902,1741.344,0.016,0.015,0.006,0.003,0.009,0.001,0.012,0.017,0.021
1960,south carolina,29549,590980,70358.78,32192.371,0.207,0.08,0.032,0.013,0.546,0.058,0.728,193953.223,157757.881,-2300.746,38312.657,42099.6,0.566,0.434,NA,NA,0.142,0.703,0.296,0,0.187,3.843,45.864,574.493,0.007,0.007,0.004,0.002,0.004,0,0.005,0.007,0.017
